rank1,rank2,rank3,rank4,rank5,count
Andrew M. Cuomo,,,,,108037
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,44871
Zohran Kwame Mamdani,,,,,24460
Jumaane D. Williams,,,,,14944
Zohran Kwame Mamdani,Brad Lander,,,,12105
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,,11720
Jenifer Rajkumar,,,,,8893
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Adrienne E. Adams,7837
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Michael Blake,7801
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,6971
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Jumaane D. Williams,6817
Andrew M. Cuomo,Whitney R. Tilson,,,,6477
Andrew M. Cuomo,Adrienne E. Adams,,,,6347
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,,,6046
Andrew M. Cuomo,Brad Lander,,,,5961
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,,,5884
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,Adrienne E. Adams,5799
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,5784
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,5747
Andrew M. Cuomo,Scott M. Stringer,,,,5571
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,5210
Marty Dolan,,,,,4988
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,4614
Adrienne E. Adams,,,,,4454
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Zellnor Myrie,4452
Andrew M. Cuomo,Zohran Kwame Mamdani,,,,4315
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Zellnor Myrie,4268
Brad Lander,,,,,3855
Brad Lander,Zohran Kwame Mamdani,,,,3397
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,,,3221
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,,,3158
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Michael Blake,3109
Zohran Kwame Mamdani,Andrew M. Cuomo,,,,2977
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,2915
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,2538
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,,,2427
Brad Lander,Andrew M. Cuomo,,,,2227
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,2027
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,,,1997
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,,1984
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Jessica Ramos,1922
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,,,1865
Brad Lander,Jumaane D. Williams,,,,1796
Scott M. Stringer,,,,,1771
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,,,1766
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,,,1733
Brad Lander,Michael Blake,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,1682
Adrienne E. Adams,Jumaane D. Williams,,,,1681
Andrew M. Cuomo,Jessica Ramos,,,,1648
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,,1544
Zohran Kwame Mamdani,Adrienne E. Adams,,,,1537
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,1517
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,,,1509
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Michael Blake,1400
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,1391
Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,,,1326
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Jumaane D. Williams,,1268
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Michael Blake,1254
Adrienne E. Adams,Andrew M. Cuomo,,,,1245
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,1236
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,,1234
Zohran Kwame Mamdani,Brad Lander,Michael Blake,,,1230
Brad Lander,Adrienne E. Adams,,,,1204
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,1174
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,,,1165
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,,,1085
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,1085
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Michael Blake,1083
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,1080
Jessica Ramos,,,,,1067
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,,,1039
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,,,1033
Brad Lander,Scott M. Stringer,,,,1012
Andrew M. Cuomo,Zellnor Myrie,,,,984
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,951
Andrew M. Cuomo,Jumaane D. Williams,,,,932
Brad Lander,Zellnor Myrie,Adrienne E. Adams,Michael Blake,Jumaane D. Williams,902
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Paperboy Love Prince,901
Brad Lander,Adrienne E. Adams,Jumaane D. Williams,,,897
Zohran Kwame Mamdani,Jumaane D. Williams,,,,892
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,880
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Scott M. Stringer,879
Brad Lander,Zellnor Myrie,Michael Blake,Adrienne E. Adams,Jumaane D. Williams,872
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,867
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Scott M. Stringer,860
