rank1,rank2,rank3,rank4,rank5,count
Andrew M. Cuomo,,,,,119847
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,54884
Zohran Kwame Mamdani,,,,,29472
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,,12936
Zohran Kwame Mamdani,Brad Lander,,,,12179
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Adrienne E. Adams,10089
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Michael Blake,9643
Andrew M. Cuomo,Adrienne E. Adams,,,,9045
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,,,7885
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,7766
Andrew M. Cuomo,,,,,7733
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,Adrienne E. Adams,7619
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,6149
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,6008
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,,,5837
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,5362
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Zellnor Myrie,5276
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Zellnor Myrie,5203
Adrienne E. Adams,,,,,5181
Andrew M. Cuomo,Zohran Kwame Mamdani,,,,4964
Andrew M. Cuomo,Scott M. Stringer,,,,4905
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,,,4827
Andrew M. Cuomo,Brad Lander,,,,4058
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,3895
Andrew M. Cuomo,Whitney R. Tilson,,,,3673
Zohran Kwame Mamdani,Andrew M. Cuomo,,,,3437
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Michael Blake,2990
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,2989
Brad Lander,Zohran Kwame Mamdani,,,,2345
Andrew M. Cuomo,Jessica Ramos,,,,2304
